trapping_N;Capture_frame;trap_type;trap_reference;the_date_of_Laying_the_Trap;statement_date;The_hour_of_laying_the_trap;statement_hour;Wind;Cloud_cover;Rain;wind_;cloud_cover_;rain_;Commune;Village;Said_neighborhood_place;Environnement;builinding_house_type;internal_external_situation;MIILD_presence;AID_last_date;observation;Y;X;Genre;Species;Gender;NB;whose_NB_throat?;TN;TX;RR
1;Site monitoring;CDC;20;11/01/2018;12/01/2018;10:05;9:50;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;PU;Béton;EH ;NO;10/01/2018;Palu;45.132431;12.780641;Culex;quinquefasciatus (pipiens);F;1;0;22,6;27,8;6
1;Site monitoring;CDC;27;11/01/2018;12/01/2018;10:09;9:55;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;PU;Béton;IH;NO;10/01/2018;Palu;45.132431;12.780641;Culex;quinquefasciatus (pipiens);F;2;0;22,6;27,8;6
2;Site monitoring;CDC;11;11/01/2018;12/01/2018;10:29;10:20;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;IH;NO;10/01/2018;Palu;45.132444;12.780949;Culex;"""NA""";NA;0;0;22,6;27,8;6
2;Site monitoring;CDC;66;11/01/2018;12/01/2018;10:36;10:25;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;EH ;NO;10/01/2018;Palu;45.132424;12.780949;Culex;quinquefasciatus (pipiens);M;1;0;22,6;27,8;6
3;Site monitoring;CDC;90;11/01/2018;12/01/2018;10:55;10:45;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;EH ;NO;10/01/2018;Palu;45.132439;12.780653;Culex;quinquefasciatus (pipiens);F;15;1;22,6;27,8;6
3;Site monitoring;CDC;65;11/01/2018;12/01/2018;11:00;10:50;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Béton;IH;NO;10/01/2018;Palu;45.132439;12.780653;Culex;quinquefasciatus (pipiens);F;2;0;22,6;27,8;6
4;Site monitoring;CDC;Q22;11/01/2018;12/01/2018;11:20;11:25;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Tole;IH;NO;10/01/2018;Palu;45.132447;12.78095;Culex;quinquefasciatus (pipiens);F;2;0;22,6;27,8;6
4;Site monitoring;CDC;AL33;11/01/2018;12/01/2018;11:25;11:25;low;high coverage;no rain;low;high coverage;Fine;MAMOUDZOU;Mamoudzou;Cavani;U;Tole;EH ;NO;10/01/2018;Palu;45.132447;12.78095;Culex;quinquefasciatus (pipiens);M;3;0;22,6;27,8;6
61;Site monitoring;CDC;AO;15/01/2018;16/01/2018;10:30;10:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;12/01/2018;NA;45.6241;12.854142;Culex;quinquefasciatus (pipiens);M;4;NA;24,4;30;75,2
61;Site monitoring;CDC;AO;15/01/2018;16/01/2018;10:30;10:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;12/01/2018;NA;45.6241;12.854142;Culex;quinquefasciatus (pipiens);F;1;1;24,4;30;75,3
9;Site monitoring;CDC;A;15/01/2018;16/01/2018;10:35;10:25;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;12/01/2018;NA;45.6241;12.85414;"""NA""";"""NA""";NA;0;NA;24,4;30;75,4
21;Site monitoring;CDC;B;15/01/2018;16/01/2018;10:55;10:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);M;1;NA;24,4;30;75,5
21;Site monitoring;CDC;B;15/01/2018;16/01/2018;10:55;10:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);F;1;NA;24,4;30;75,6
21;Site monitoring;CDC;B;15/01/2018;16/01/2018;10:55;10:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6182;12.854265;Aedes;albopictus;M;1;NA;24,4;30;75,7
78;Site monitoring;CDC;AN;15/01/2018;16/01/2018;11:00;10:50;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);M;5;NA;24,4;30;75,8
78;Site monitoring;CDC;AN;15/01/2018;16/01/2018;11:00;10:50;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;"""NA""";NA;45.6182;12.854265;Culex;quinquefasciatus (pipiens);F;4;NA;24,4;30;75,9
4;Site monitoring;CDC;V;15/01/2018;16/01/2018;11:25;11:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);M;3;NA;24,4;30;75,1
4;Site monitoring;CDC;V;15/01/2018;16/01/2018;11:25;11:20;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);F;3;NA;24,4;30;75,11
46;Site monitoring;CDC;AK;15/01/2018;16/01/2018;11:30;11:25;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Béton;EH ;NO;"""NA""";NA;456111;12.854292;"""NA""";"""NA""";NA;0;NA;24,4;30;75,12
88;Site monitoring;CDC;J;15/01/2018;16/01/2018;11:45;11:40;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);M;1;NA;24,4;30;75,13
88;Site monitoring;CDC;J;15/01/2018;16/01/2018;11:45;11:40;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;IH;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);F;2;NA;24,4;30;75,14
1;Site monitoring;CDC;AP;15/01/2018;16/01/2018;11:50;11:45;Medium;mean coverage;no rain;low;high coverage;Non;SADA;Sada;hamzimambe;PU;Tole;EH ;NO;"""NA""";NA;45.6111;12.854292;Culex;quinquefasciatus (pipiens);M;1;NA;24,4;30;75,15
