;trapping_N;Capture_frame;case_N°;trap_type;the_date_of_Laying_the_Trap;statement_date;The_hour_of_laying_the_trap;statement_hour;Wind;Rain;X;Y;Commune;Village;Said_neighborhood _place;Environnement;House_type;internal_external_situation;MIILD_presence;AID_last_date;Species;Gender;NB;Observations;Capture_frame2;case_number;date;hours;trap_type2;Species2;TN;TX;RR
1;k/31;palu;3;CDC;08/01/2020;09/01/2020; 10:30; 10:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;F;3;NA;deng;1;01/01/2020; 06:00;CDC;An. gambiae;23,9;30,8;6,2
2;AG/18;palu;3;CDC;08/01/2020;09/01/2020; 10:30; 10:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;E;NA;"""NA""";Cx. quinquefasciatus;M;1;NA;palu;2;02/01/2020; 06:30;BG;An.funestus;23,9;30,8;6,2
3;AG/18;palu;3;CDC;08/01/2020;09/01/2020; 10:30; 10:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;E;NA;"""NA""";Cx. quinquefasciatus;F;2;NA;chikungunya;3;03/01/2020; 07:00;NA;An. coustani;23,9;30,8;6,2
4;AP/51;palu;3;CDC;08/01/2020;09/01/2020; 11:00; 10:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;F;8;NA;FVR;4;04/01/2020; 07:30;NA;An. pretoriensis;23,9;30,8;6,2
5;F/91;palu;3;CDC;08/01/2020;09/01/2020; 11:00; 10:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;E;NA;"""NA""";NA;NA;NA;no mosquito;Vectobiome;5;05/01/2020; 08:00;NA;An. mascarensis;23,9;30,8;6,2
6;T/77;palu;3;CDC;08/01/2020;09/01/2020; 11:30; 11:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Natural(mud, wood, etc);I;NA;"""NA""";Cx. quinquefasciatus;M;1;NA;site monitoring;6;06/01/2020; 08:30;NA;An. maculipalpis;23,9;30,8;6,2
7;T/77;palu;3;CDC;08/01/2020;09/01/2020; 11:30; 11:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Natural(mud, wood, etc);I;NA;"""NA""";Cx. quinquefasciatus;F;4;NA;RSI aéroport;7;07/01/2020; 09:00;NA;An.;23,9;30,8;6,2
8;AN/34;palu;3;CDC;08/01/2020;09/01/2020; 12:00; 09:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Natural(mud, wood, etc);E;NA;"""NA""";Cx. quinquefasciatus;M;6;NA;RSI port Longoni;8;08/01/2020; 09:30;NA;Ae. aegypti;23,9;30,8;6,2
9;AN/34;palu;3;CDC;08/01/2020;09/01/2020; 12:00; 09:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Natural(mud, wood, etc);E;NA;"""NA""";Cx. quinquefasciatus;F;12;NA;RSI port Dzaoudzi;9;09/01/2020; 10:00;NA;Ae. albopictus;23,9;30,8;6,2
10;V/47;palu;3;CDC;08/01/2020;09/01/2020; 12:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;M;7;NA;NA;10;10/01/2020; 10:30;NA;Ae. albocephalus;23,9;30,8;6,2
11;V/47;palu;3;CDC;08/01/2020;09/01/2020; 12:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;F;12;NA;NA;11;11/01/2020; 11:00;NA;Ae. cartroni;23,9;30,8;6,2
12;X/79;palu;3;CDC;08/01/2020;09/01/2020; 12:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;E;NA;"""NA""";NA;NA;NA;no mosquito;NA;12;12/01/2020; 11:30;NA;Ae. fowleri;23,9;30,8;6,2
13;AM/36;palu;3;CDC;08/01/2020;09/01/2020; 12:30; 10:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;M;3;NA;NA;13;13/01/2020; 12:00;NA;Ae. simpsoni;23,9;30,8;6,2
14;AM/36;palu;3;CDC;08/01/2020;09/01/2020; 12:30; 10:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;F;2;NA;NA;14;14/01/2020; 12:30;NA;Ae. vittatus;23,9;30,8;6,2
15;AQ/55;palu;3;CDC;08/01/2020;09/01/2020; 13:00; 10:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;E;NA;"""NA""";Cx. quinquefasciatus;M;1;NA;NA;15;15/01/2020; 13:00;NA;Ae.;23,9;30,8;6,2
16;AQ/55;palu;3;CDC;08/01/2020;09/01/2020; 13:00; 10:00;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;E;NA;"""NA""";Cx. quinquefasciatus;F;1;NA;NA;16;16/01/2020; 13:30;NA;Cx. antennatus;23,9;30,8;6,2
17;1;palu;3;BG;08/01/2020;09/01/2020; 11:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;M;3;NA;NA;17;17/01/2020; 14:00;NA;Cx. carleti;23,9;30,8;6,2
18;1;palu;3;BG;08/01/2020;09/01/2020; 11:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;F;4;NA;NA;18;18/01/2020; 14:30;NA;Cx. chauveti;23,9;30,8;6,2
19;2;palu;3;BG;08/01/2020;09/01/2020; 11:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;M;15;NA;NA;19;19/01/2020; 15:00;NA;Cx. comorensis;23,9;30,8;6,2
20;2;palu;3;BG;08/01/2020;09/01/2020; 11:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;F;10;NA;NA;20;20/01/2020; 15:30;NA;Cx. decens;23,9;30,8;6,2
21;3;palu;3;BG;08/01/2020;09/01/2020; 11:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;M;5;NA;NA;21;21/01/2020; 16:00;NA;Cx. quinquefasciatus;23,9;30,8;6,2
22;3;palu;3;BG;08/01/2020;09/01/2020; 11:00; 09:30;low;no rain;-12,735161;45,159831;KOUNGOU;Longoni;sidi colo;U;Concrete;I;NA;"""NA""";Cx. quinquefasciatus;F;10;NA;NA;22;22/01/2020; 16:30;NA;Cx. sitiens;23,9;30,8;6,2
